owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,has_readme,has_docker,has_cicd,has_tests,repo_age_days,days_since_last_update,quality_label,quality_score,improvement_suggestions
arm,mcp,arm/mcp,https://github.com/arm/mcp,Python,85,17,2,498,1,0,1,0,1,0,362,0,Beginner,47,"Add unit/integration tests, Add Docker support"
cynchro,deepseekCLI,cynchro/deepseekCLI,https://github.com/cynchro/deepseekCLI,Python,21,0,0,900,1,0,1,0,0,1,68,0,Beginner,33,"Set up CI/CD workflows, Add Docker support"
NetSPI,OCInferno,NetSPI/OCInferno,https://github.com/NetSPI/OCInferno,Python,20,2,0,1939,1,0,1,1,1,1,111,0,Intermediate,62,Great job! Keep it up.
anetonline,ANetBBS,anetonline/ANetBBS,https://github.com/anetonline/ANetBBS,Python,21,2,10,9945,1,0,1,0,1,1,69,0,Intermediate,52,Add Docker support
open-edge-platform,physical-ai-studio,open-edge-platform/physical-ai-studio,https://github.com/open-edge-platform/physical-ai-studio,Python,67,25,65,32636,1,0,1,0,1,0,328,0,Beginner,48,"Add unit/integration tests, Add Docker support"
SimplifyJobs,Summer2026-Internships,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,Python,45490,3200,54,2997324,0,0,1,0,1,0,2251,0,Production Ready,82,"Add unit/integration tests, Add Docker support"
Charmve,Charmve,Charmve/Charmve,https://github.com/Charmve/Charmve,Python,49,70,3,107908,1,0,1,0,1,0,2136,0,Beginner,50,"Add unit/integration tests, Add Docker support"
andychenggg,Stocks,andychenggg/Stocks,https://github.com/andychenggg/Stocks,Python,46,16,3,16470,1,1,1,0,1,1,238,0,Intermediate,60,Add Docker support
linny006,skills-tracker,linny006/skills-tracker,https://github.com/linny006/skills-tracker,Python,11,5,5,50835,1,1,1,0,1,0,60,0,Beginner,38,"Add unit/integration tests, Add Docker support"
LidaoNote,OpenCode,LidaoNote/OpenCode,https://github.com/LidaoNote/OpenCode,Python,38,13,1,65937,1,0,1,0,0,0,712,0,Beginner,29,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Jaded-Encoding-Thaumaturgy,vs-jetpack,Jaded-Encoding-Thaumaturgy/vs-jetpack,https://github.com/Jaded-Encoding-Thaumaturgy/vs-jetpack,Python,71,22,8,9024,0,1,1,0,1,1,527,0,Intermediate,62,Add Docker support
tomaasz,litellm-free-models-proxy,tomaasz/litellm-free-models-proxy,https://github.com/tomaasz/litellm-free-models-proxy,Python,42,6,15,134422,1,1,1,1,1,0,86,0,Intermediate,52,Add unit/integration tests
linny006,trending-claude-skills,linny006/trending-claude-skills,https://github.com/linny006/trending-claude-skills,Python,18,2,3,23651,1,1,1,0,1,0,61,0,Beginner,36,"Add unit/integration tests, Add Docker support"
lonnyzhang423,v2ex-hot-hub,lonnyzhang423/v2ex-hot-hub,https://github.com/lonnyzhang423/v2ex-hot-hub,Python,57,5,0,101601,1,0,1,0,1,0,2025,0,Beginner,42,"Add unit/integration tests, Add Docker support"
ethereum,soundcalc,ethereum/soundcalc,https://github.com/ethereum/soundcalc,Python,56,26,6,4700,1,0,1,0,0,1,306,0,Beginner,47,"Set up CI/CD workflows, Add Docker support"
Abishek-kk,RailMind-AI,Abishek-kk/RailMind-AI,https://github.com/Abishek-kk/RailMind-AI,Python,60,2,0,50482,1,0,1,0,1,0,43,0,Beginner,40,"Add unit/integration tests, Add Docker support"
hungpham2511,toppra,hungpham2511/toppra,https://github.com/hungpham2511/toppra,Python,906,208,40,12170,1,1,1,0,1,1,3291,0,Production Ready,77,Add Docker support
