owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,repo_age_days,days_since_last_update,has_readme,has_docker,has_cicd,has_tests
arm,mcp,arm/mcp,https://github.com/arm/mcp,Python,85,17,2,498,1,0,362,0,1,0,1,0
cynchro,deepseekCLI,cynchro/deepseekCLI,https://github.com/cynchro/deepseekCLI,Python,21,0,0,900,1,0,68,0,1,0,0,1
NetSPI,OCInferno,NetSPI/OCInferno,https://github.com/NetSPI/OCInferno,Python,20,2,0,1939,1,0,111,0,1,1,1,1
anetonline,ANetBBS,anetonline/ANetBBS,https://github.com/anetonline/ANetBBS,Python,21,2,10,9945,1,0,69,0,1,0,1,1
open-edge-platform,physical-ai-studio,open-edge-platform/physical-ai-studio,https://github.com/open-edge-platform/physical-ai-studio,Python,67,25,65,32636,1,0,328,0,1,0,1,0
SimplifyJobs,Summer2026-Internships,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,Python,45490,3200,54,2997324,0,0,2251,0,1,0,1,0
Charmve,Charmve,Charmve/Charmve,https://github.com/Charmve/Charmve,Python,49,70,3,107908,1,0,2136,0,1,0,1,0
andychenggg,Stocks,andychenggg/Stocks,https://github.com/andychenggg/Stocks,Python,46,16,3,16470,1,1,238,0,1,0,1,1
linny006,skills-tracker,linny006/skills-tracker,https://github.com/linny006/skills-tracker,Python,11,5,5,50835,1,1,60,0,1,0,1,0
LidaoNote,OpenCode,LidaoNote/OpenCode,https://github.com/LidaoNote/OpenCode,Python,38,13,1,65937,1,0,712,0,1,0,0,0
Jaded-Encoding-Thaumaturgy,vs-jetpack,Jaded-Encoding-Thaumaturgy/vs-jetpack,https://github.com/Jaded-Encoding-Thaumaturgy/vs-jetpack,Python,71,22,8,9024,0,1,527,0,1,0,1,1
tomaasz,litellm-free-models-proxy,tomaasz/litellm-free-models-proxy,https://github.com/tomaasz/litellm-free-models-proxy,Python,42,6,15,134422,1,1,86,0,1,1,1,0
linny006,trending-claude-skills,linny006/trending-claude-skills,https://github.com/linny006/trending-claude-skills,Python,18,2,3,23651,1,1,61,0,1,0,1,0
lonnyzhang423,v2ex-hot-hub,lonnyzhang423/v2ex-hot-hub,https://github.com/lonnyzhang423/v2ex-hot-hub,Python,57,5,0,101601,1,0,2025,0,1,0,1,0
ethereum,soundcalc,ethereum/soundcalc,https://github.com/ethereum/soundcalc,Python,56,26,6,4700,1,0,306,0,1,0,0,1
Abishek-kk,RailMind-AI,Abishek-kk/RailMind-AI,https://github.com/Abishek-kk/RailMind-AI,Python,60,2,0,50482,1,0,43,0,1,0,1,0
hungpham2511,toppra,hungpham2511/toppra,https://github.com/hungpham2511/toppra,Python,906,208,40,12170,1,1,3291,0,1,0,1,1
ProxyScrape,free-proxy-list,ProxyScrape/free-proxy-list,https://github.com/ProxyScrape/free-proxy-list,Python,66,6,0,9742165,1,0,56,0,1,0,1,0
packit,packit-service,packit/packit-service,https://github.com/packit/packit-service,Python,42,59,261,12832,1,0,2626,0,1,1,1,1
sktelecom,onot,sktelecom/onot,https://github.com/sktelecom/onot,Python,15,7,1,2822,1,0,1381,0,1,0,1,1
TomoeMami,S1PlainTextBackup,TomoeMami/S1PlainTextBackup,https://github.com/TomoeMami/S1PlainTextBackup,Python,533,63,0,658423,0,0,2363,0,1,0,1,0
robballou,sublimetext-sshconfig,robballou/sublimetext-sshconfig,https://github.com/robballou/sublimetext-sshconfig,Python,24,5,1,658,1,0,4830,0,1,0,1,1
fideus-labs,ngff-zarr,fideus-labs/ngff-zarr,https://github.com/fideus-labs/ngff-zarr,Python,72,23,20,10967,0,0,1395,0,1,0,1,0
canonical,checkbox,canonical/checkbox,https://github.com/canonical/checkbox,Python,49,79,179,34417,1,0,1391,0,1,0,1,0
aeon-toolkit,aeon,aeon-toolkit/aeon,https://github.com/aeon-toolkit/aeon,Python,1418,305,243,123963,0,1,1311,0,1,0,1,0
NousResearch,hermes-agent,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,219344,41592,24821,532699,1,1,365,0,1,1,1,1
SnailDev,v2ex-hot-hub,SnailDev/v2ex-hot-hub,https://github.com/SnailDev/v2ex-hot-hub,Python,37,2,2,81198,1,0,1982,0,1,0,1,0
Xpra-org,xpra,Xpra-org/xpra,https://github.com/Xpra-org/xpra,Python,2900,233,216,78308,1,0,2008,0,1,0,1,1
sonichi,sutando,sonichi/sutando,https://github.com/sonichi/sutando,Python,356,76,136,10475,1,0,117,0,1,0,1,1
stamparm,maltrail,stamparm/maltrail,https://github.com/stamparm/maltrail,Python,8558,1257,101,44275,1,0,4248,0,1,0,1,1
wliqi495-create,jaychouqq,wliqi495-create/jaychouqq,https://github.com/wliqi495-create/jaychouqq,Python,11,8,2,260395,1,0,181,0,1,0,0,0
daiki-beppu,youtube-automation,daiki-beppu/youtube-automation,https://github.com/daiki-beppu/youtube-automation,Python,161,6,29,16180,0,0,123,0,1,0,1,1
AndyShiue,learning-rust-from-zero,AndyShiue/learning-rust-from-zero,https://github.com/AndyShiue/learning-rust-from-zero,Python,59,2,0,5433,1,1,127,0,1,0,1,0
Lornatang,ESRGAN-PyTorch,Lornatang/ESRGAN-PyTorch,https://github.com/Lornatang/ESRGAN-PyTorch,Python,158,29,9,3735,1,0,2136,0,1,0,0,0
Cog-Creators,Red-Index,Cog-Creators/Red-Index,https://github.com/Cog-Creators/Red-Index,Python,36,71,0,285278,0,0,2156,0,1,0,1,0
daemonless,daemonless,daemonless/daemonless,https://github.com/daemonless/daemonless,Python,56,1,0,432,1,0,210,0,1,0,1,0
juliensimon,space-datasets,juliensimon/space-datasets,https://github.com/juliensimon/space-datasets,Python,11,1,0,3906,1,0,124,0,1,0,1,0
weaversa,cryptol-course,weaversa/cryptol-course,https://github.com/weaversa/cryptol-course,Python,28,17,10,14152,1,1,2250,0,1,0,1,0
WingedGuardian,GENesis-AGI,WingedGuardian/GENesis-AGI,https://github.com/WingedGuardian/GENesis-AGI,Python,91,16,2,24049,0,0,123,0,1,0,1,1
mehmetey03,YA-HU,mehmetey03/YA-HU,https://github.com/mehmetey03/YA-HU,Python,24,5,0,182595,1,0,626,0,1,0,1,0
mikelikesrobots,viam-rover2,mikelikesrobots/viam-rover2,https://github.com/mikelikesrobots/viam-rover2,Python,11,0,0,64,1,0,62,0,1,0,0,0
xxynet,KiraAI,xxynet/KiraAI,https://github.com/xxynet/KiraAI,Python,65,19,8,9236,1,0,265,0,1,1,1,1
GoogleCloudPlatform,professional-services,GoogleCloudPlatform/professional-services,https://github.com/GoogleCloudPlatform/professional-services,Python,3047,1463,48,658220,0,0,3352,0,1,0,0,0
oaustegard,llm-as-computer,oaustegard/llm-as-computer,https://github.com/oaustegard/llm-as-computer,Python,11,2,0,2177,1,0,133,0,1,0,0,0
rafatosta,zapzap,rafatosta/zapzap,https://github.com/rafatosta/zapzap,Python,1276,78,21,18566,1,1,1664,0,1,0,1,1
felipelobomotta-blip,book-genesis-v4,felipelobomotta-blip/book-genesis-v4,https://github.com/felipelobomotta-blip/book-genesis-v4,Python,78,22,11,8512,1,0,100,0,1,0,0,1
ulsreall,web3-agent-kit,ulsreall/web3-agent-kit,https://github.com/ulsreall/web3-agent-kit,Python,18,2,12,2656,0,1,49,0,1,0,1,1
